지역,연도,평균가격
서울,2006,521.3
도심권,2006,562.6
동북권,2006,295.0
동남권,2006,763.9
서북권,2006,376.2
서남권,2006,416.4
부산,2006,151.2
대구,2006,174.0
인천,2006,177.0
광주,2006,115.5
대전,2006,188.0
울산,2006,127.2
경기,2006,308.7
강원,2006,100.6
충북,2006,118.4
충남,2006,131.9
전북,2006,90.1
전남,2006,73.9
경북,2006,95.1
경남,2006,142.7
제주,2006,114.9
서울,2006,471.6
도심권,2006,540.7
동북권,2006,300.4
동남권,2006,760.0
서북권,2006,350.8
서남권,2006,398.4
부산,2006,153.1
대구,2006,169.7
인천,2006,174.1
광주,2006,112.9
대전,2006,178.3
울산,2006,124.7
경기,2006,273.4
강원,2006,101.8
충북,2006,120.2
충남,2006,129.0
전북,2006,89.6
전남,2006,72.5
경북,2006,97.3
경남,2006,130.1
제주,2006,107.8
서울,2006,501.2
도심권,2006,551.6
동북권,2006,310.1
동남권,2006,813.4
서북권,2006,368.7
서남권,2006,406.8
부산,2006,150.1
대구,2006,166.8
인천,2006,176.3
광주,2006,113.3
대전,2006,173.8
울산,2006,124.9
경기,2006,286.9
강원,2006,100.1
충북,2006,119.1
충남,2006,124.4
전북,2006,86.8
전남,2006,71.6
경북,2006,97.3
경남,2006,132.9
제주,2006,112.4
서울,2006,451.1
도심권,2006,534.3
동북권,2006,307.9
동남권,2006,758.6
서북권,2006,364.6
서남권,2006,380.1
부산,2006,146.1
대구,2006,166.2
인천,2006,179.9
광주,2006,115.0
대전,2006,180.6
울산,2006,130.7
경기,2006,275.2
강원,2006,100.8
충북,2006,113.5
충남,2006,126.3
전북,2006,89.1
전남,2006,73.1
경북,2006,96.9
경남,2006,124.8
제주,2006,109.9
서울,2006,418.3
도심권,2006,516.5
동북권,2006,311.2
동남권,2006,697.1
서북권,2006,364.4
서남권,2006,363.9
부산,2006,144.9
대구,2006,164.2
인천,2006,180.0
광주,2006,110.8
대전,2006,176.1
울산,2006,133.6
경기,2006,268.7
강원,2006,99.8
충북,2006,111.8
충남,2006,121.7
전북,2006,88.0
전남,2006,74.0
경북,2006,97.2
경남,2006,123.7
제주,2006,109.5
서울,2006,382.0
도심권,2006,479.2
동북권,2006,301.9
동남권,2006,652.5
서북권,2006,345.9
서남권,2006,345.6
부산,2006,142.8
대구,2006,162.7
인천,2006,183.4
광주,2006,111.3
대전,2006,164.8
울산,2006,132.4
경기,2006,248.8
강원,2006,96.9
충북,2006,124.3
충남,2006,123.6
전북,2006,89.0
전남,2006,76.0
경북,2006,99.3
경남,2006,123.7
제주,2006,126.3
서울,2006,372.3
도심권,2006,473.3
동북권,2006,301.7
동남권,2006,658.5
서북권,2006,340.5
서남권,2006,346.5
부산,2006,146.8
대구,2006,162.8
인천,2006,185.9
광주,2006,112.0
대전,2006,160.0
울산,2006,130.5
경기,2006,240.1
강원,2006,99.0
충북,2006,129.7
충남,2006,127.3
전북,2006,91.0
전남,2006,77.4
경북,2006,98.1
경남,2006,123.9
제주,2006,116.0
서울,2006,389.6
도심권,2006,479.0
동북권,2006,302.6
동남권,2006,693.5
서북권,2006,365.3
서남권,2006,356.6
부산,2006,147.7
대구,2006,165.3
인천,2006,188.0
광주,2006,112.1
대전,2006,159.4
울산,2006,139.5
경기,2006,243.8
강원,2006,100.3
충북,2006,127.2
충남,2006,129.7
전북,2006,94.2
전남,2006,78.2
경북,2006,103.1
경남,2006,126.2
제주,2006,127.1
서울,2006,431.9
도심권,2006,514.4
동북권,2006,313.2
동남권,2006,757.4
서북권,2006,382.9
서남권,2006,387.2
부산,2006,147.1
대구,2006,165.0
인천,2006,187.2
광주,2006,114.7
대전,2006,168.5
울산,2006,146.8
경기,2006,265.8
강원,2006,98.4
충북,2006,123.7
충남,2006,130.2
전북,2006,93.6
전남,2006,77.0
경북,2006,101.9
경남,2006,135.2
제주,2006,120.9
서울,2006,494.3
도심권,2006,578.6
동북권,2006,330.1
동남권,2006,825.3
서북권,2006,396.8
서남권,2006,434.0
부산,2006,151.5
대구,2006,169.4
인천,2006,194.5
광주,2006,115.2
대전,2006,176.7
울산,2006,150.7
경기,2006,307.2
강원,2006,98.6
충북,2006,120.7
충남,2006,128.1
전북,2006,96.4
전남,2006,78.7
경북,2006,104.6
경남,2006,137.7
제주,2006,131.1
서울,2006,428.3
도심권,2006,553.7
동북권,2006,318.0
동남권,2006,760.8
서북권,2006,360.8
서남권,2006,403.7
부산,2006,159.8
대구,2006,173.1
인천,2006,193.3
광주,2006,116.5
대전,2006,177.3
울산,2006,159.2
경기,2006,282.0
강원,2006,95.8
충북,2006,122.8
충남,2006,130.7
전북,2006,97.1
전남,2006,78.9
경북,2006,106.3
경남,2006,157.4
제주,2006,129.1
서울,2006,450.8
도심권,2006,524.2
동북권,2006,320.5
동남권,2006,795.7
서북권,2006,381.4
서남권,2006,394.6
부산,2006,160.1
대구,2006,172.4
인천,2006,192.4
광주,2006,117.4
대전,2006,173.6
울산,2006,165.3
경기,2006,272.1
강원,2006,95.7
충북,2006,119.5
충남,2006,126.1
전북,2006,100.5
전남,2006,77.7
경북,2006,107.2
경남,2006,143.5
제주,2006,127.5
서울,2007,398.9
도심권,2007,510.6
동북권,2007,320.0
동남권,2007,664.2
서북권,2007,369.4
서남권,2007,368.5
부산,2007,155.0
대구,2007,166.1
인천,2007,192.3
광주,2007,117.4
대전,2007,161.1
울산,2007,170.6
경기,2007,250.4
강원,2007,99.3
충북,2007,120.1
충남,2007,129.9
전북,2007,100.9
전남,2007,84.2
경북,2007,103.3
경남,2007,135.6
제주,2007,122.8
서울,2007,414.7
도심권,2007,536.3
동북권,2007,324.3
동남권,2007,693.4
서북권,2007,371.2
서남권,2007,381.6
부산,2007,156.0
대구,2007,163.0
인천,2007,194.4
광주,2007,117.6
대전,2007,156.5
울산,2007,163.6
경기,2007,251.5
강원,2007,100.4
충북,2007,121.5
충남,2007,129.3
전북,2007,99.4
전남,2007,83.4
경북,2007,106.4
경남,2007,131.6
제주,2007,121.6
서울,2007,410.2
도심권,2007,520.9
동북권,2007,327.7
동남권,2007,708.4
서북권,2007,384.2
서남권,2007,393.8
부산,2007,156.7
대구,2007,162.7
인천,2007,193.2
광주,2007,115.1
대전,2007,155.8
울산,2007,161.7
경기,2007,252.8
강원,2007,97.7
충북,2007,117.6
충남,2007,127.8
전북,2007,96.7
전남,2007,82.0
경북,2007,104.4
경남,2007,129.7
제주,2007,120.1
서울,2007,421.8
도심권,2007,585.4
동북권,2007,332.7
동남권,2007,712.5
서북권,2007,371.5
서남권,2007,407.8
부산,2007,151.7
대구,2007,162.1
인천,2007,201.8
광주,2007,115.7
대전,2007,164.5
울산,2007,169.1
경기,2007,259.5
강원,2007,98.1
충북,2007,117.4
충남,2007,128.1
전북,2007,97.0
전남,2007,80.5
경북,2007,104.8
경남,2007,129.6
제주,2007,124.7
서울,2007,465.0
도심권,2007,576.1
동북권,2007,335.9
동남권,2007,801.1
서북권,2007,372.5
서남권,2007,419.2
부산,2007,149.6
대구,2007,162.4
인천,2007,207.0
광주,2007,113.9
대전,2007,153.4
울산,2007,155.8
경기,2007,271.2
강원,2007,96.8
충북,2007,112.0
충남,2007,127.9
전북,2007,95.0
전남,2007,78.2
경북,2007,102.5
경남,2007,126.7
제주,2007,137.0
서울,2007,486.0
도심권,2007,611.1
동북권,2007,354.5
동남권,2007,814.3
서북권,2007,395.7
서남권,2007,437.5
부산,2007,156.7
대구,2007,164.2
인천,2007,213.1
광주,2007,117.7
대전,2007,165.3
울산,2007,165.1
경기,2007,283.7
강원,2007,98.4
충북,2007,129.5
충남,2007,133.5
전북,2007,97.1
전남,2007,82.4
경북,2007,105.9
경남,2007,137.1
제주,2007,120.7
서울,2007,454.8
도심권,2007,586.8
동북권,2007,354.4
동남권,2007,772.1
서북권,2007,411.0
서남권,2007,422.6
부산,2007,160.7
대구,2007,166.7
인천,2007,219.2
광주,2007,117.9
대전,2007,162.0
울산,2007,167.2
경기,2007,274.4
강원,2007,98.9
충북,2007,121.4
충남,2007,131.2
전북,2007,100.1
전남,2007,86.1
경북,2007,107.3
경남,2007,173.9
제주,2007,127.1
서울,2007,445.0
도심권,2007,613.7
동북권,2007,360.4
동남권,2007,724.5
서북권,2007,401.1
서남권,2007,420.8
부산,2007,157.8
대구,2007,165.3
인천,2007,224.9
광주,2007,117.7
대전,2007,158.4
울산,2007,164.8
경기,2007,271.7
강원,2007,100.7
충북,2007,114.9
충남,2007,125.3
전북,2007,98.2
전남,2007,84.0
경북,2007,106.9
경남,2007,137.2
제주,2007,132.4
서울,2007,463.0
도심권,2007,606.2
동북권,2007,368.7
동남권,2007,794.2
서북권,2007,413.7
서남권,2007,432.7
부산,2007,158.6
대구,2007,166.0
인천,2007,228.7
광주,2007,119.5
대전,2007,162.2
울산,2007,166.6
경기,2007,283.0
강원,2007,102.6
충북,2007,118.6
충남,2007,133.5
전북,2007,98.5
전남,2007,84.4
경북,2007,111.6
경남,2007,141.4
제주,2007,138.6
서울,2007,470.0
도심권,2007,602.3
동북권,2007,375.4
동남권,2007,780.5
서북권,2007,424.8
서남권,2007,442.2
부산,2007,158.1
대구,2007,168.3
인천,2007,237.6
광주,2007,119.9
대전,2007,163.2
울산,2007,163.3
경기,2007,287.2
강원,2007,103.6
충북,2007,117.7
충남,2007,132.2
전북,2007,99.8
전남,2007,88.6
경북,2007,106.6
경남,2007,137.8
제주,2007,133.7
서울,2007,483.2
도심권,2007,654.4
동북권,2007,383.6
동남권,2007,799.6
서북권,2007,440.8
서남권,2007,454.3
부산,2007,161.5
대구,2007,168.0
인천,2007,241.9
광주,2007,121.0
대전,2007,163.3
울산,2007,161.6
경기,2007,298.8
강원,2007,101.9
충북,2007,119.3
충남,2007,130.5
전북,2007,102.6
전남,2007,88.8
경북,2007,106.1
경남,2007,141.0
제주,2007,138.5
서울,2007,492.7
도심권,2007,635.4
동북권,2007,392.6
동남권,2007,807.7
서북권,2007,441.2
서남권,2007,458.0
부산,2007,165.3
대구,2007,169.2
인천,2007,244.7
광주,2007,120.3
대전,2007,169.0
울산,2007,166.6
경기,2007,304.9
강원,2007,104.0
충북,2007,119.9
충남,2007,130.9
전북,2007,108.2
전남,2007,88.5
경북,2007,109.1
경남,2007,144.4
제주,2007,135.2
서울,2008,478.2
도심권,2008,603.9
동북권,2008,402.2
동남권,2008,773.4
서북권,2008,448.6
서남권,2008,444.6
부산,2008,166.9
대구,2008,168.1
인천,2008,246.1
광주,2008,123.0
대전,2008,166.0
울산,2008,165.1
경기,2008,302.3
강원,2008,109.1
충북,2008,125.5
충남,2008,132.2
전북,2008,108.5
전남,2008,92.6
경북,2008,109.0
경남,2008,145.1
제주,2008,125.4
서울,2008,486.6
도심권,2008,593.4
동북권,2008,414.3
동남권,2008,770.1
서북권,2008,450.0
서남권,2008,455.8
부산,2008,167.0
대구,2008,166.7
인천,2008,249.2
광주,2008,122.6
대전,2008,161.4
울산,2008,169.5
경기,2008,302.3
강원,2008,105.4
충북,2008,122.0
충남,2008,133.8
전북,2008,104.9
전남,2008,93.3
경북,2008,111.3
경남,2008,141.8
제주,2008,134.2
서울,2008,502.5
도심권,2008,601.2
동북권,2008,441.4
동남권,2008,757.1
서북권,2008,473.8
서남권,2008,465.1
부산,2008,165.8
대구,2008,167.5
인천,2008,256.0
광주,2008,120.4
대전,2008,161.0
울산,2008,170.9
경기,2008,308.3
강원,2008,107.3
충북,2008,124.8
충남,2008,133.1
전북,2008,106.9
전남,2008,92.9
경북,2008,110.6
경남,2008,139.3
제주,2008,131.1
서울,2008,532.5
도심권,2008,627.3
동북권,2008,474.4
동남권,2008,771.9
서북권,2008,478.4
서남권,2008,482.0
부산,2008,170.1
대구,2008,167.3
인천,2008,266.6
광주,2008,122.3
대전,2008,161.1
울산,2008,172.7
경기,2008,318.3
강원,2008,109.8
충북,2008,120.0
충남,2008,134.5
전북,2008,108.2
전남,2008,92.3
경북,2008,110.9
경남,2008,140.4
제주,2008,143.0
서울,2008,552.9
도심권,2008,666.0
동북권,2008,489.5
동남권,2008,782.8
서북권,2008,489.9
서남권,2008,499.8
부산,2008,167.4
대구,2008,170.0
인천,2008,276.0
광주,2008,122.9
대전,2008,165.8
울산,2008,173.1
경기,2008,323.1
강원,2008,114.1
충북,2008,121.1
충남,2008,137.3
전북,2008,111.2
전남,2008,96.9
경북,2008,107.6
경남,2008,143.3
제주,2008,128.2
서울,2008,557.7
도심권,2008,636.8
동북권,2008,498.9
동남권,2008,774.8
서북권,2008,504.7
서남권,2008,495.9
부산,2008,169.3
대구,2008,169.1
인천,2008,282.7
광주,2008,126.4
대전,2008,164.7
울산,2008,173.6
경기,2008,325.4
강원,2008,118.8
충북,2008,125.4
충남,2008,141.8
전북,2008,113.3
전남,2008,99.0
경북,2008,111.0
경남,2008,146.0
제주,2008,147.9
서울,2008,558.7
도심권,2008,634.2
동북권,2008,492.1
동남권,2008,764.7
서북권,2008,494.5
서남권,2008,494.9
부산,2008,164.1
대구,2008,168.8
인천,2008,287.9
광주,2008,124.5
대전,2008,162.8
울산,2008,170.3
경기,2008,318.8
강원,2008,117.7
충북,2008,125.3
충남,2008,143.7
전북,2008,115.4
전남,2008,96.0
경북,2008,110.1
경남,2008,145.8
제주,2008,138.9
서울,2008,566.5
도심권,2008,672.0
동북권,2008,483.5
동남권,2008,785.7
서북권,2008,479.7
서남권,2008,492.4
부산,2008,165.0
대구,2008,167.4
인천,2008,289.5
광주,2008,124.2
대전,2008,159.0
울산,2008,171.2
경기,2008,314.9
강원,2008,115.8
충북,2008,120.5
충남,2008,146.9
전북,2008,120.2
전남,2008,96.8
경북,2008,111.7
경남,2008,144.6
제주,2008,125.2
서울,2008,573.6
도심권,2008,588.9
동북권,2008,482.7
동남권,2008,782.4
서북권,2008,478.2
서남권,2008,505.7
부산,2008,162.2
대구,2008,163.9
인천,2008,292.2
광주,2008,124.8
대전,2008,158.9
울산,2008,165.8
경기,2008,311.0
강원,2008,115.0
충북,2008,119.0
충남,2008,148.8
전북,2008,108.5
전남,2008,95.4
경북,2008,105.8
경남,2008,146.5
제주,2008,139.4
서울,2008,557.9
도심권,2008,572.0
동북권,2008,469.4
동남권,2008,772.6
서북권,2008,462.1
서남권,2008,487.2
부산,2008,157.4
대구,2008,164.5
인천,2008,280.7
광주,2008,125.1
대전,2008,156.6
울산,2008,158.6
경기,2008,300.4
강원,2008,106.3
충북,2008,114.1
충남,2008,138.3
전북,2008,110.3
전남,2008,96.3
경북,2008,106.1
경남,2008,143.1
제주,2008,128.9
서울,2008,618.2
도심권,2008,651.9
동북권,2008,458.5
동남권,2008,825.9
서북권,2008,467.3
서남권,2008,523.4
부산,2008,157.4
대구,2008,161.6
인천,2008,295.9
광주,2008,122.6
대전,2008,160.1
울산,2008,166.3
경기,2008,317.7
강원,2008,104.8
충북,2008,119.1
충남,2008,135.8
전북,2008,112.2
전남,2008,103.8
경북,2008,105.8
경남,2008,140.7
제주,2008,128.8
서울,2008,627.4
도심권,2008,610.2
동북권,2008,441.0
동남권,2008,792.7
서북권,2008,474.5
서남권,2008,524.0
부산,2008,160.6
대구,2008,165.5
인천,2008,296.4
광주,2008,124.7
대전,2008,165.5
울산,2008,176.9
경기,2008,317.8
강원,2008,98.6
충북,2008,114.2
충남,2008,131.0
전북,2008,115.0
전남,2008,93.5
경북,2008,106.1
경남,2008,144.1
제주,2008,130.7
서울,2009,662.2
도심권,2009,694.4
동북권,2009,455.8
동남권,2009,826.1
서북권,2009,467.4
서남권,2009,584.9
부산,2009,167.6
대구,2009,164.4
인천,2009,290.0
광주,2009,128.9
대전,2009,167.9
울산,2009,172.2
경기,2009,350.7
강원,2009,115.4
충북,2009,126.4
충남,2009,147.1
전북,2009,121.5
전남,2009,98.0
경북,2009,110.3
경남,2009,154.8
제주,2009,126.3
서울,2009,624.2
도심권,2009,664.8
동북권,2009,460.2
동남권,2009,836.0
서북권,2009,473.7
서남권,2009,548.2
부산,2009,167.9
대구,2009,163.5
인천,2009,283.2
광주,2009,127.1
대전,2009,170.0
울산,2009,178.1
경기,2009,346.5
강원,2009,111.0
충북,2009,124.8
충남,2009,145.2
전북,2009,118.8
전남,2009,99.9
경북,2009,113.7
경남,2009,152.4
제주,2009,134.1
서울,2009,642.0
도심권,2009,646.5
동북권,2009,458.9
동남권,2009,863.5
서북권,2009,492.7
서남권,2009,533.1
부산,2009,171.5
대구,2009,161.6
인천,2009,278.9
광주,2009,125.1
대전,2009,167.8
울산,2009,168.3
경기,2009,331.0
강원,2009,112.7
충북,2009,124.5
충남,2009,138.9
전북,2009,114.5
전남,2009,103.1
경북,2009,112.6
경남,2009,150.7
제주,2009,150.1
서울,2009,637.4
도심권,2009,681.4
동북권,2009,475.8
동남권,2009,847.7
서북권,2009,519.8
서남권,2009,557.0
부산,2009,177.6
대구,2009,169.4
인천,2009,281.0
광주,2009,126.7
대전,2009,179.0
울산,2009,182.2
경기,2009,352.6
강원,2009,115.2
충북,2009,122.9
충남,2009,150.4
전북,2009,118.4
전남,2009,103.8
경북,2009,114.6
경남,2009,155.8
제주,2009,141.4
서울,2009,621.3
도심권,2009,662.8
동북권,2009,472.9
동남권,2009,868.0
서북권,2009,516.1
서남권,2009,542.2
부산,2009,179.0
대구,2009,169.0
인천,2009,281.7
광주,2009,129.3
대전,2009,180.1
울산,2009,184.0
경기,2009,335.4
강원,2009,115.5
충북,2009,128.2
충남,2009,142.7
전북,2009,120.7
전남,2009,101.4
경북,2009,118.8
경남,2009,160.0
제주,2009,157.8
서울,2009,655.7
도심권,2009,697.2
동북권,2009,482.9
동남권,2009,929.0
서북권,2009,519.9
서남권,2009,554.8
부산,2009,182.1
대구,2009,174.7
인천,2009,288.7
광주,2009,130.9
대전,2009,182.1
울산,2009,180.1
경기,2009,346.4
강원,2009,116.7
충북,2009,128.4
충남,2009,148.1
전북,2009,121.4
전남,2009,101.0
경북,2009,116.5
경남,2009,156.7
제주,2009,148.7
서울,2009,635.9
도심권,2009,705.9
동북권,2009,483.2
동남권,2009,895.3
서북권,2009,541.0
서남권,2009,550.5
부산,2009,188.9
대구,2009,173.4
인천,2009,289.2
광주,2009,133.7
대전,2009,182.8
울산,2009,182.1
경기,2009,342.5
강원,2009,114.1
충북,2009,132.2
충남,2009,148.0
전북,2009,124.4
전남,2009,104.1
경북,2009,118.3
경남,2009,160.2
제주,2009,154.4
서울,2009,650.0
도심권,2009,732.9
동북권,2009,497.0
동남권,2009,918.3
서북권,2009,540.2
서남권,2009,560.7
부산,2009,193.5
대구,2009,176.5
인천,2009,290.9
광주,2009,130.2
대전,2009,186.5
울산,2009,189.4
경기,2009,349.1
강원,2009,122.9
충북,2009,134.9
충남,2009,150.4
전북,2009,125.7
전남,2009,104.6
경북,2009,123.0
경남,2009,165.4
제주,2009,155.5
서울,2009,614.5
도심권,2009,752.7
동북권,2009,497.2
동남권,2009,879.2
서북권,2009,520.5
서남권,2009,536.4
부산,2009,191.8
대구,2009,176.7
인천,2009,292.1
광주,2009,131.3
대전,2009,184.6
울산,2009,185.5
경기,2009,332.0
강원,2009,121.6
충북,2009,133.7
충남,2009,146.9
전북,2009,129.2
전남,2009,107.9
경북,2009,124.1
경남,2009,164.4
제주,2009,149.3
서울,2009,588.7
도심권,2009,699.9
동북권,2009,485.5
동남권,2009,846.2
서북권,2009,528.9
서남권,2009,510.2
부산,2009,191.1
대구,2009,175.9
인천,2009,283.4
광주,2009,130.3
대전,2009,186.4
울산,2009,183.1
경기,2009,318.1
강원,2009,122.1
충북,2009,131.7
충남,2009,148.1
전북,2009,130.2
전남,2009,109.4
경북,2009,123.6
경남,2009,161.0
제주,2009,154.4
서울,2009,607.2
도심권,2009,703.3
동북권,2009,484.8
동남권,2009,869.0
서북권,2009,515.7
서남권,2009,527.8
부산,2009,193.7
대구,2009,174.7
인천,2009,279.4
광주,2009,131.3
대전,2009,187.8
울산,2009,187.3
경기,2009,316.1
강원,2009,119.5
충북,2009,136.7
충남,2009,147.2
전북,2009,132.2
전남,2009,111.6
경북,2009,123.9
경남,2009,164.8
제주,2009,160.2
서울,2009,658.9
도심권,2009,773.4
동북권,2009,483.2
동남권,2009,934.8
서북권,2009,505.1
서남권,2009,549.6
부산,2009,195.4
대구,2009,175.9
인천,2009,279.4
광주,2009,133.6
대전,2009,194.0
울산,2009,184.7
경기,2009,324.0
강원,2009,121.1
충북,2009,133.5
충남,2009,152.3
전북,2009,131.3
전남,2009,108.2
경북,2009,123.2
경남,2009,165.9
제주,2009,150.4
서울,2010,681.5
도심권,2010,747.9
동북권,2010,493.2
동남권,2010,966.8
서북권,2010,520.9
서남권,2010,562.3
부산,2010,202.6
대구,2010,175.8
인천,2010,288.1
광주,2010,135.7
대전,2010,198.3
울산,2010,191.4
경기,2010,341.2
강원,2010,127.3
충북,2010,142.6
충남,2010,153.0
전북,2010,135.9
전남,2010,114.5
경북,2010,123.8
경남,2010,173.9
제주,2010,158.8
서울,2010,619.0
도심권,2010,730.9
동북권,2010,491.7
동남권,2010,877.5
서북권,2010,493.1
서남권,2010,532.3
부산,2010,202.8
대구,2010,170.4
인천,2010,286.7
광주,2010,135.5
대전,2010,193.5
울산,2010,191.1
경기,2010,322.0
강원,2010,123.6
충북,2010,135.6
충남,2010,150.6
전북,2010,138.8
전남,2010,113.7
경북,2010,121.4
경남,2010,170.0
제주,2010,144.2
서울,2010,586.2
도심권,2010,716.0
동북권,2010,479.2
동남권,2010,839.3
서북권,2010,495.1
서남권,2010,507.0
부산,2010,198.4
대구,2010,170.7
인천,2010,279.1
광주,2010,133.8
대전,2010,189.5
울산,2010,190.7
경기,2010,308.2
강원,2010,121.4
충북,2010,133.8
충남,2010,148.3
전북,2010,136.2
전남,2010,111.0
경북,2010,119.0
경남,2010,170.5
제주,2010,154.9
서울,2010,566.7
도심권,2010,675.3
동북권,2010,458.7
동남권,2010,851.9
서북권,2010,483.3
서남권,2010,490.2
부산,2010,198.6
대구,2010,168.2
인천,2010,272.6
광주,2010,132.4
대전,2010,189.1
울산,2010,183.8
경기,2010,300.4
강원,2010,119.9
충북,2010,134.3
충남,2010,148.6
전북,2010,136.2
전남,2010,110.9
경북,2010,118.0
경남,2010,168.0
제주,2010,160.2
서울,2010,588.3
도심권,2010,671.4
동북권,2010,450.4
동남권,2010,872.0
서북권,2010,481.0
서남권,2010,508.0
부산,2010,199.1
대구,2010,169.5
인천,2010,275.2
광주,2010,133.8
대전,2010,190.5
울산,2010,188.5
경기,2010,303.8
강원,2010,121.4
충북,2010,138.6
충남,2010,155.5
전북,2010,139.6
전남,2010,113.6
경북,2010,117.6
경남,2010,171.7
제주,2010,148.7
서울,2010,598.4
도심권,2010,722.5
동북권,2010,455.2
동남권,2010,875.8
서북권,2010,491.1
서남권,2010,509.8
부산,2010,200.9
대구,2010,172.0
인천,2010,270.0
광주,2010,132.2
대전,2010,194.2
울산,2010,185.6
경기,2010,304.9
강원,2010,123.0
충북,2010,139.9
충남,2010,154.1
전북,2010,143.5
전남,2010,116.9
경북,2010,116.7
경남,2010,179.6
제주,2010,165.1
서울,2010,593.9
도심권,2010,688.9
동북권,2010,453.5
동남권,2010,853.1
서북권,2010,483.6
서남권,2010,503.2
부산,2010,204.2
대구,2010,169.7
인천,2010,272.3
광주,2010,128.4
대전,2010,202.9
울산,2010,186.9
경기,2010,301.6
강원,2010,118.8
충북,2010,138.7
충남,2010,149.4
전북,2010,139.9
전남,2010,117.0
경북,2010,119.1
경남,2010,178.2
제주,2010,161.4
서울,2010,599.0
도심권,2010,666.4
동북권,2010,443.0
동남권,2010,882.2
서북권,2010,492.2
서남권,2010,508.0
부산,2010,206.8
대구,2010,170.0
인천,2010,272.0
광주,2010,135.1
대전,2010,205.2
울산,2010,186.2
경기,2010,300.7
강원,2010,120.8
충북,2010,140.4
충남,2010,148.1
전북,2010,138.5
전남,2010,122.3
경북,2010,120.2
경남,2010,179.8
제주,2010,164.1
서울,2010,583.6
도심권,2010,645.9
동북권,2010,442.4
동남권,2010,878.6
서북권,2010,477.3
서남권,2010,501.0
부산,2010,209.4
대구,2010,171.9
인천,2010,271.8
광주,2010,135.5
대전,2010,204.5
울산,2010,194.7
경기,2010,306.2
강원,2010,123.3
충북,2010,140.5
충남,2010,150.7
전북,2010,145.6
전남,2010,121.9
경북,2010,120.7
경남,2010,191.7
제주,2010,167.4
서울,2010,602.2
도심권,2010,679.0
동북권,2010,452.6
동남권,2010,874.7
서북권,2010,495.7
서남권,2010,531.7
부산,2010,216.4
대구,2010,174.8
인천,2010,275.8
광주,2010,139.8
대전,2010,214.7
울산,2010,196.1
경기,2010,315.1
강원,2010,127.7
충북,2010,146.7
